panel,n,m,seed,generator,generator_alpha,generator_sigma,data_scale,prefilter_relative_gap,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,exact_value,upper_gap,lower_gap,relative_upper_gap,relative_lower_gap,runtime,rank1_residual,relative_rank1_residual,pd_gap,relative_pd_gap,shor_gap,relative_shor_gap,x_trace,y_trace,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,n_cuts,n_iters,n_rounds,full_constraint_count,oracle_solves,dual_bracket_gap,relative_dual_bracket_gap,oracle_margin,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count,rank1_repairs,rank1_residual_initial_max
square,2,2,15,correlated-top,3.0,0.1,2.9509610288533286,0.01,0.013292013503599091,0.019163679960144897,Full SEP,SolutionStatus.Optimal,-1.4225802648435817,-1.4225802645547858,-1.4225802648435817,-1.4225802648435817,0.0,-2.8879587610219914e-10,0.0,0.0,0.0012074578553438187,1.5841935239797393e-08,1.5841935239797393e-08,-2.8879587610219914e-10,2.0300849325640925e-10,,,,,,,,,,,,,,,,,,,,,,
square,2,2,15,correlated-top,3.0,0.1,2.9509610288533286,0.01,0.013292013503599091,0.019163679960144897,Dual LOP/TRS,OPTIMAL,-1.4225802631193538,-1.4225809243987952,-1.4225802631193538,-1.4225802648435817,1.7242278715912107e-09,6.595552135557625e-07,1.2120425920436879e-09,4.636328255522622e-07,0.01840591710060835,8.004142424145133e-09,8.004142424145133e-09,,,,,,,,,,,,,,,,23,7.511187738451497e-07,5.279972203778735e-07,-8.98393321402402e-08,,,,0,3.6492119386032336e-08
square,2,2,15,correlated-top,3.0,0.1,2.9509610288533286,0.01,0.013292013503599091,0.019163679960144897,Gurobi,OPTIMAL,-1.422580416600655,-1.422580646844395,-1.422580416600655,-1.4225802648435817,-1.517570733522433e-07,3.8200081320383106e-07,1.0667732493807018e-07,2.685266484196837e-07,0.022572457790374756,,,,,,,,,,,,,,,,,,,,,,5.0,1.6184936694248158e-07,5,,
square,2,2,15,correlated-top,3.0,0.1,2.9509610288533286,0.01,0.013292013503599091,0.019163679960144897,Lazy SEP,Optimal,-1.422580264845225,-1.4225802645562715,-1.422580264845225,-1.4225802648435817,-1.6433521210501567e-12,-2.8731017565064576e-10,1.1551911422227914e-12,0.0,0.0014677500003017485,1.5834471737277693e-08,1.5834471737277693e-08,-2.889535277716959e-10,2.0311931418726218e-10,,,,,6.439293542825908e-15,6.439293542825908e-15,6.439293542825908e-15,6.439293542825908e-15,coordinate,1,2,2,1,,,,,,,,,
square,2,2,21,correlated-top,3.0,0.1,2.9600221538603435,0.01,0.15907771971682577,0.22974872642288724,Shor,Optimal,-1.4442545872034307,-1.4442545872034307,-0.8418389774306982,-1.214505887112814,0.3726669096821158,0.22974870009061665,0.3068465238715629,0.15907770148439582,0.0010677906684577465,1.3622958943194532,0.6395012154646458,1.9304426945865316e-09,1.3366360139624183e-09,0.22974870009061665,0.15907770148439582,1.0000000098382393,1.0000000094903787,,,,,,,,,,,,,,,,,,
square,2,2,21,correlated-top,3.0,0.1,2.9600221538603435,0.01,0.15907771971682577,0.22974872642288724,Full SEP,SolutionStatus.Optimal,-1.214505887112814,-1.2145058872525238,-1.214505887112814,-1.214505887112814,0.0,1.3970979928501492e-10,0.0,1.15034270933893e-10,0.0012243338860571384,8.345259029330003e-09,8.345259029330003e-09,1.3970979928501492e-10,1.15034270933893e-10,,,,,,,,,,,,,,,,,,,,,,
square,2,2,21,correlated-top,3.0,0.1,2.9600221538603435,0.01,0.15907771971682577,0.22974872642288724,Dual LOP/TRS,OPTIMAL,-1.2145058607805435,-1.2145061409970062,-1.2145058607805435,-1.214505887112814,2.6332270586237883e-08,2.538841921140289e-07,2.168146804857102e-08,2.090431522277949e-07,0.018205083906650543,7.851727422457282e-08,7.851727422457282e-08,,,,,,,,,,,,,,,,23,8.929012882408216e-07,7.351970139136766e-07,-6.12684825596066e-07,,,,0,1.8489039793326513e-07
square,2,2,21,correlated-top,3.0,0.1,2.9600221538603435,0.01,0.15907771971682577,0.22974872642288724,Gurobi,OPTIMAL,-1.214506010621905,-1.2145065895998095,-1.214506010621905,-1.214505887112814,-1.2350909095459883e-07,7.024869954630475e-07,1.0169491947705904e-07,5.784134902837563e-07,0.019272041972726583,,,,,,,,,,,,,,,,,,,,,,5.0,4.767188465473092e-07,5,,
square,2,2,21,correlated-top,3.0,0.1,2.9600221538603435,0.01,0.15907771971682577,0.22974872642288724,Lazy SEP,Optimal,-1.2145058871128145,-1.2145058872525234,-1.2145058871128145,-1.214505887112814,-4.440892098500626e-16,1.3970935519580507e-10,3.6565422577388587e-16,1.150339052796673e-10,0.0014133339864201844,8.345258577858252e-09,8.345258577858252e-09,1.3970891110659522e-10,1.1503353962544157e-10,,,,,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,coordinate,1,2,2,1,,,,,,,,,
square,4,4,0,correlated-top,3.0,0.1,3.1233992827378487,0.01,0.19219961891854104,0.28228721321953243,Shor,Optimal,-1.4687189017745803,-1.4687189017745803,-0.7470270967602635,-1.186431726090177,0.43940462932991364,0.2822871756844032,0.37035812484376857,0.19219959336216724,0.001135542057454586,1.486613217620473,0.7005755572899244,9.494796060494082e-10,6.464678876960044e-10,0.2822871756844032,0.19219959336216724,1.0000000140785081,1.0000000145231784,,,,,,,,,,,,,,,,,,
square,4,4,0,correlated-top,3.0,0.1,3.1233992827378487,0.01,0.19219961891854104,0.28228721321953243,Full SEP,SolutionStatus.Optimal,-1.186431726090177,-1.186431731404299,-1.186431726090177,-1.186431726090177,0.0,5.3141218092633835e-09,0.0,4.479079300225237e-09,0.002430874854326248,1.0987901968372001e-07,1.0987901968372001e-07,5.3141218092633835e-09,4.479079300225237e-09,,,,,,,,,,,,,,,,,,,,,,
square,4,4,0,correlated-top,3.0,0.1,3.1233992827378487,0.01,0.19219961891854104,0.28228721321953243,Dual LOP/TRS,OPTIMAL,-1.1864316885550479,-1.1864326010169028,-1.1864316885550479,-1.186431726090177,3.753512922699542e-08,8.749267257357474e-07,3.1636990482958894e-08,7.374432605660357e-07,0.023226791992783546,1.2855210446682392e-07,1.2855210446682392e-07,,,,,,,,,,,,,,,,23,9.225363384324226e-07,7.77571635878606e-07,-1.0074483469679762e-08,,,,0,5.462530444584811e-07
