panel,n,m,seed,generator,condition,center_scale,prefiltered,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,reference_upper_bound,max_distance_squared,bound_gap,relative_bound_gap,runtime,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,sep_rank1_residual,relative_sep_rank1_residual,pd_gap,relative_pd_gap,x_trace,y_trace,x_ball,y_ball,primal_feasibility_violation,certification_gap,relative_certification_gap,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
square,8,8,1421,ellipsoids,5.0,1.0,True,0.021865251561066244,1.8908539643921358,Gurobi,TIME_LIMIT,,-226.50349397754078,-84.58672252618487,-84.58672252775455,258.0136900985707,141.91677144978624,0.6265544471638842,5.003090291284025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.6777665242606354,1
square,8,8,1516,ellipsoids,5.0,1.0,True,0.014876764251167313,1.1066869196526596,Gurobi,TIME_LIMIT,,-185.8493439413517,-73.2836106590579,-73.2836106590579,196.24030825236915,112.56573328229379,0.6056827045771873,5.0028041251935065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.5360287555424994,2
square,8,8,1659,ellipsoids,5.0,1.0,True,0.01011262262218571,0.7122438110281024,Gurobi,TIME_LIMIT,,-181.96183922504827,-69.71892302254255,-69.71892302254255,190.84252855052145,112.24291620250571,0.6168486572818436,5.002463917247951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.609934739901442,1
square,8,8,2276,ellipsoids,5.0,1.0,True,0.02392809966491364,1.6152526491898556,Gurobi,TIME_LIMIT,,-140.9607702826594,-65.88917402111277,-65.88917402111277,152.40290718068772,75.07159626154665,0.5325708430154751,5.002104084007442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.1393616231627313,1
square,8,8,2404,ellipsoids,5.0,1.0,True,0.011890555507646455,0.94170708307729,Gurobi,TIME_LIMIT,,-208.1918527980779,-78.25619771386064,-78.25619771386064,219.1500773918131,129.93565508421725,0.6241149849905023,5.002362541854382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.6603880443989845,2
square,8,8,2796,ellipsoids,5.0,1.0,True,0.012032005724520511,0.7000243578488465,Gurobi,TIME_LIMIT,,-125.86635678186478,-57.48016387313234,-57.48016387313234,134.92834622948044,68.38619290873244,0.5433238448877209,5.003862082958221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.189735524409279,1
square,8,8,2958,ellipsoids,5.0,1.0,True,0.03198438804842131,2.336952095856134,Gurobi,TIME_LIMIT,,-160.05647635350314,-70.72844757095041,-70.72844757095041,182.74337896868897,89.32802878255274,0.5581031821871519,5.002896833233535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.26297171577171,2
square,8,8,3555,ellipsoids,5.0,1.0,True,0.015004274645833008,1.1445739605743768,Gurobi,TIME_LIMIT,,-152.40833629023209,-75.13861783585466,-75.13861783585466,165.1682205127835,77.26971845437743,0.50699141749853,5.002603457774967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0283622547220432,1
square,10,10,273,ellipsoids,5.0,1.0,True,0.012917699591899933,1.195654369005311,Gurobi,TIME_LIMIT,,-323.65644460889064,-91.36373366282724,-91.36373366282724,342.23960803133383,232.29271094606338,0.7177138438468852,12.313242542091757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.310662501957268,2.5425045763051526,2
square,10,10,1289,ellipsoids,5.0,1.0,True,0.014310994173908262,1.0464046382392382,Gurobi,TIME_LIMIT,,-242.4064156511106,-72.07252934518998,-72.07252934518998,253.31404730858685,170.3338863059206,0.7026789528173126,13.597087500151247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.593803001567721,2.363367677719618,2
